항목명(국문)!항목명(영문)!항목크기!항목구분!샘플데이터!항목설명
발행잔액합계!balanceSum!18,2!필!20000000!발행잔액_합계
DLS발행잔액합계!balanceSumDls!18,2!필!1500000!발행잔액_합계
DLS사모원금보장_발행잔액!dlsNsubsGuarBalance!18,2!필!10000000!해당_발행잔액_관리
DLS사모원금보장_발행종목수!dlsNsubsGuarSecncnt!8!필!123!해당_종목수_관리
DLS사모원금비보장_발행잔액!dlsNsubsNguarBalance!18,2!필!10000000!해당_발행잔액_관리
DLS사모원금비보장_발행종목수!dlsNsubsNguarSecnCnt!8!필!123!해당_종목수_관리
DLS공모원금보장_발행잔액!dlsSubsGuarBalance!18,2!필!10000000!해당_발행잔액_관리
DLS공모원금보장_발행종목수!dlsSubsGuarSecncnt!8!필!123!해당_종목수_관리
DLS공모원금비보장_발행잔액!dlsSubsNguarBalance!18,2!필!10000000!해당_발행잔액_관리
DLS공모원금비보장_발행종목수!dlsSubsNguarSecncnt!8!필!123!해당_종목수_관리
ELS발행잔액합계!balanceSumEls!18,2!필!1500000!발행잔액_합계
ELS사모원금보장_발행잔액!elsNsubsGuarBalance!18,2!필!10000000!해당_발행잔액_관리
ELS사모원금보장_발행종목수!elsNsubsGuarSecncnt!8!필!123!해당_종목수_관리
ELS사모원금비보장_발행잔액!elsNsubsNguarBalance!18,2!필!10000000!해당_발행잔액_관리
ELS사모원금비보장_발행종목수!elsNsubsNguarSecncnt!8!필!123!해당_종목수_관리
ELS공모원금보장_발행잔액!elsSubsGuarBalance!18,2!필!10000000!해당_발행잔액_관리
ELS공모원금보장_발행종목수!elsSubsGuarSecncnt!8!필!123!해당_종목수_관리
ELS공모원금비보장_발행잔액!elsSubsNguarBalance!18,2!필!10000000!해당_발행잔액_관리
ELS공모원금비보장_발행종목수!elsSubsNguarSecncnt!8!필!123!해당_종목수_관리
발행회사명!repSecnNm!100!필!미래에셋대우!발행사(증권사)명_관리
발행종목수합계!secncntSum!8!필!10000000!전체_발행_종목수_관리
